name,platform_group,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,total_sales,other_sales,critic_score,user_score,rating,rat_sem
blitz the league,XBox,X360,2006,Sports,0.15,0.0,0.0,0.16,0.01,69.0,6.5,M,Mature
battle soccer field no hasha,Nintendo,SNES,1992,Sports,0.0,0.0,0.16,0.16,0.0,,,,Pending
yakuza kiwami,PlayStation,PS4,2016,Adventure,0.0,0.0,0.16,0.16,0.0,,,,Pending
nba 2k12,PC,PC,2011,Sports,0.09,0.05,0.0,0.16,0.02,86.0,7.1,E,Everyone
take a break's puzzle master,Nintendo,DS,2009,Puzzle,0.0,0.15,0.0,0.16,0.01,,,,Pending
ener-g dance squad,Nintendo,DS,2008,Sports,0.15,0.0,0.0,0.16,0.01,,,E,Everyone
rudolph the red-nosed reindeer,Nintendo,Wii,2010,Action,0.15,0.0,0.0,0.16,0.01,,,E,Everyone
flatout 2,PlayStation,PS2,2006,Racing,0.08,0.06,0.0,0.16,0.02,73.0,7.5,T,Teens
naruto ultimate ninja heroes 2 - the phantom fortress,PlayStation,PSP,2006,Fighting,0.14,0.0,0.0,0.15000000000000002,0.01,64.0,7.8,T,Teens
despicable me the game,PlayStation,PSP,2010,Platform,0.05,0.08,0.0,0.16,0.03,,,,Pending
fifa soccer 96,PlayStation,PS,1995,Sports,0.09,0.06,0.0,0.16,0.01,,,,Pending
ncaa final four 2001,PlayStation,PS,2000,Sports,0.09,0.06,0.0,0.16,0.01,55.0,,E,Everyone
heroes over europe,PlayStation,PS3,2009,Simulation,0.12,0.02,0.0,0.15999999999999998,0.02,62.0,7.0,T,Teens
j-league jikkyou winning eleven 2000,PlayStation,PS,2000,Sports,0.0,0.0,0.15,0.16,0.01,,,,Pending
eve the lost one,Other,SAT,1998,Adventure,0.0,0.0,0.16,0.16,0.0,,,,Pending
tna impact!,Nintendo,Wii,2008,Fighting,0.14,0.01,0.0,0.16000000000000003,0.01,,,,Pending
konami krazy racers,Nintendo,GBA,2001,Racing,0.09,0.03,0.04,0.16,0.0,78.0,,E,Everyone
bioshock the collection,XBox,XOne,2016,Shooter,0.08,0.06,0.0,0.15000000000000002,0.01,84.0,8.3,M,Mature
watchmen the end is nigh - the complete experience,PlayStation,PS3,2009,Action,0.08,0.06,0.0,0.16,0.02,,,,Pending
solitaire overload plus,Nintendo,DS,2010,Misc,0.15,0.0,0.0,0.16,0.01,,,E,Everyone
saturday night slam masters,Nintendo,SNES,1994,Fighting,0.0,0.0,0.16,0.16,0.0,,,,Pending
f-zero gp legend,Nintendo,GBA,2003,Racing,0.11,0.04,0.0,0.15,0.0,77.0,8.5,E,Everyone
racing lagoon,PlayStation,PS,1999,Racing,0.0,0.0,0.15,0.16,0.01,,,,Pending
vegas party,Nintendo,Wii,,Misc,0.15,0.0,0.0,0.16,0.01,33.0,,T,Teens
mr. driller 2,Nintendo,GBA,2001,Puzzle,0.0,0.0,0.15,0.15,0.0,62.0,,E,Everyone
klonoa,Nintendo,Wii,2008,Platform,0.1,0.02,0.03,0.16000000000000003,0.01,77.0,8.6,E10+,Everyone 10y+
bulletstorm,PC,PC,2011,Shooter,0.07,0.07,0.0,0.16,0.02,82.0,7.7,M,Mature
putty squad,PlayStation,PS4,2013,Platform,0.06,0.07,0.0,0.16,0.03,38.0,2.9,E10+,Everyone 10y+
j-league pro soccer club o tsukurou! 6 pride of j,PlayStation,PSP,2009,Sports,0.0,0.0,0.16,0.16,0.0,,,,Pending
burger island,Nintendo,DS,2008,Action,0.15,0.0,0.0,0.16,0.01,,,E,Everyone
the walking dead season one,XBox,XOne,2014,Adventure,0.08,0.06,0.0,0.15000000000000002,0.01,,,,Pending
field commander,PlayStation,PSP,2006,Strategy,0.14,0.0,0.0,0.15000000000000002,0.01,77.0,7.8,T,Teens
left brain right brain use both hands train both sides,Nintendo,DS,2007,Misc,0.15,0.0,0.0,0.16,0.01,,,,Pending
around the world in 80 days,Nintendo,DS,2010,Action,0.0,0.14,0.0,0.16,0.02,,,,Pending
"bcfx the black college football xperience, the doug williams edition",XBox,X360,2009,Sports,0.15,0.0,0.0,0.16,0.01,,,,Pending
custom robo arena,Nintendo,DS,2006,Fighting,0.01,0.02,0.12,0.15,0.0,74.0,8.3,E10+,Everyone 10y+
ar nosurge ode to an unborn star,PlayStation,PS3,2014,Role-Playing,0.05,0.03,0.06,0.16,0.02,67.0,7.8,T,Teens
power rangers double pack,Nintendo,GBA,2005,Action,0.11,0.04,0.0,0.15,0.0,,,,Pending
imagine ice champions,Nintendo,DS,2007,Sports,0.15,0.0,0.0,0.16,0.01,,,E,Everyone
pachi-slot kanzen kouryaku 3 universal koushiki gaido volume 3,PlayStation,PS,1998,Misc,0.0,0.0,0.15,0.16,0.01,,,,Pending
fifa soccer 97,PlayStation,PS,1996,Sports,0.09,0.06,0.0,0.16,0.01,,,,Pending
transformer rise of the dark spark,XBox,X360,2014,Action,0.09,0.06,0.0,0.16,0.01,,,,Pending
shaun white skateboarding,XBox,X360,2010,Sports,0.1,0.05,0.0,0.16000000000000003,0.01,61.0,5.3,T,Teens
dragon ball origins 2,Nintendo,DS,2010,Action,0.05,0.01,0.08,0.15000000000000002,0.01,70.0,,T,Teens
psychic force,PlayStation,PS,1996,Fighting,0.01,0.01,0.13,0.16,0.01,,,,Pending
trigger man,PlayStation,PS2,2004,Shooter,0.08,0.06,0.0,0.16,0.02,32.0,4.8,T,Teens
starblade α,PlayStation,PS,1995,Shooter,0.0,0.0,0.15,0.16,0.01,,,,Pending
kidou senshi gundam giren no yabou - axis no kyoui,PlayStation,PSP,2008,Strategy,0.0,0.0,0.16,0.16,0.0,,,,Pending
wildstar,PC,PC,2014,Role-Playing,0.08,0.07,0.0,0.16000000000000003,0.01,82.0,7.4,T,Teens
family party 30 great games outdoor fun,Nintendo,Wii,2009,Misc,0.14,0.01,0.0,0.16000000000000003,0.01,,,E10+,Everyone 10y+
tiger woods pga tour 2004,Nintendo,GC,2003,Sports,0.12,0.03,0.0,0.15,0.0,89.0,7.8,E,Everyone
rudolph the red-nosed reindeer,Nintendo,DS,2010,Action,0.15,0.0,0.0,0.16,0.01,,,E,Everyone
spider-man web of shadows - amazing allies edition,PlayStation,PSP,2008,Action,0.12,0.02,0.0,0.15999999999999998,0.02,,,,Pending
culdcept,Nintendo,3DS,2012,Misc,0.0,0.0,0.16,0.16,0.0,,,,Pending
amped 3,XBox,X360,2005,Sports,0.13,0.02,0.0,0.16,0.01,72.0,7.1,T,Teens
mx 2002 featuring ricky carmichael,Nintendo,GBA,2001,Racing,0.11,0.04,0.0,0.15,0.0,,,,Pending
innocent life a futuristic harvest moon,PlayStation,PSP,2006,Simulation,0.08,0.03,0.03,0.16,0.02,67.0,7.8,E,Everyone
halo triple pack,XBox,XB,2005,Shooter,0.12,0.03,0.0,0.16,0.01,,,,Pending
street racer,PlayStation,PS,1996,Racing,0.09,0.06,0.0,0.16,0.01,,,,Pending
bomberman land touch! 2,Nintendo,DS,2007,Puzzle,0.13,0.0,0.01,0.15000000000000002,0.01,,,,Pending
nba 2k3,Nintendo,GC,2002,Sports,0.12,0.03,0.0,0.15,0.0,84.0,,E,Everyone
harvest moon the lost valley,Nintendo,3DS,2014,Simulation,0.13,0.01,0.0,0.16,0.02,,,,Pending
nhl 2005,XBox,XB,2004,Sports,0.12,0.03,0.0,0.16,0.01,77.0,6.2,E,Everyone
arcana heart,PlayStation,PS2,2007,Fighting,0.06,0.05,0.04,0.16999999999999998,0.02,77.0,8.1,T,Teens
world soccer winning eleven 2010 aoki samurai no chousen,PlayStation,PSP,2010,Sports,0.0,0.0,0.16,0.16,0.0,,,,Pending
battlestar galactica,PlayStation,PS2,2003,Shooter,0.08,0.06,0.0,0.16,0.02,66.0,6.8,T,Teens
time hollow,Nintendo,DS,2008,Adventure,0.03,0.01,0.11,0.15,0.0,64.0,7.8,T,Teens
medieval games,Nintendo,Wii,2009,Action,0.14,0.01,0.0,0.16000000000000003,0.01,,5.9,E10+,Everyone 10y+
kingdom hearts birth by sleep - final mix,PlayStation,PSP,2011,Role-Playing,0.0,0.0,0.16,0.16,0.0,,,,Pending
tak and the guardians of gross,Nintendo,Wii,2008,Action,0.14,0.0,0.0,0.15000000000000002,0.01,63.0,8.0,E10+,Everyone 10y+
yu-gi-oh! 5d's duel transer,Nintendo,Wii,2010,Strategy,0.11,0.02,0.02,0.16,0.01,,,,Pending
jurassic park the game,XBox,X360,,Action,0.15,0.0,0.0,0.16,0.01,60.0,3.6,T,Teens
toriko gourmet monsters!,Nintendo,3DS,2012,Role-Playing,0.0,0.0,0.16,0.16,0.0,,,,Pending
akiba's trip undead & undressed,PlayStation,PSV,2013,Action,0.04,0.02,0.08,0.15000000000000002,0.01,,,,Pending
the incredible hulk the pantheon saga,PlayStation,PS,1996,Action,0.09,0.06,0.0,0.16,0.01,,,,Pending
the idolm@ster 2,PlayStation,PS3,2011,Misc,0.0,0.0,0.16,0.16,0.0,,,,Pending
monster house,Nintendo,DS,2006,Adventure,0.14,0.0,0.0,0.15000000000000002,0.01,62.0,,E,Everyone
dynasty warriors 8 xtreme legends,PlayStation,PS3,2013,Action,0.02,0.02,0.11,0.16,0.01,68.0,6.8,T,Teens
godzilla unleashed,Nintendo,Wii,2007,Fighting,0.14,0.0,0.0,0.15000000000000002,0.01,44.0,7.2,E10+,Everyone 10y+
ac/dc live rock band track pack,PlayStation,PS2,2008,Misc,0.08,0.06,0.0,0.16,0.02,,,T,Teens
senran kagura sh?jo-tachi no shinei,Nintendo,3DS,2011,Action,0.0,0.0,0.16,0.16,0.0,,,,Pending
ener-g horse riders,Nintendo,DS,2008,Sports,0.14,0.01,0.0,0.16000000000000003,0.01,,,E,Everyone
he-man power of grayskull,Nintendo,GBA,2002,Action,0.11,0.04,0.0,0.15,0.0,50.0,,E,Everyone
sherlock holmes vs. jack the ripper,XBox,X360,2009,Adventure,0.11,0.03,0.0,0.15000000000000002,0.01,62.0,6.8,T,Teens
sniper ghost warrior,PC,PC,2010,Shooter,0.0,0.13,0.0,0.16,0.03,55.0,5.5,M,Mature
rondo of swords (us sales),Nintendo,DS,2007,Role-Playing,0.16,0.0,0.0,0.16,0.0,,,,Pending
polaris snocross,PlayStation,PS,2000,Racing,0.09,0.06,0.0,0.16,0.01,57.0,,E,Everyone
wing commander iii heart of the tiger,PlayStation,PS,1996,Action,0.09,0.06,0.0,0.16,0.01,,,,Pending
imagine music fest,Nintendo,DS,2009,Simulation,0.14,0.0,0.0,0.15000000000000002,0.01,,,E,Everyone
mat hoffman's pro bmx 2,Nintendo,GBA,2002,Sports,0.11,0.04,0.0,0.15,0.0,82.0,,E,Everyone
fist of the north star ken's rage,XBox,X360,2010,Action,0.07,0.02,0.06,0.16000000000000003,0.01,59.0,7.3,M,Mature
chaotic shadow warriors,XBox,X360,2009,Action,0.14,0.0,0.0,0.15000000000000002,0.01,60.0,5.0,E10+,Everyone 10y+
muppet racemania,PlayStation,PS,1999,Racing,0.09,0.06,0.0,0.16,0.01,,,,Pending
namco museum vol.5,PlayStation,PS,1996,Misc,0.02,0.01,0.12,0.16,0.01,,,,Pending
courier crisis,PlayStation,PS,1997,Racing,0.09,0.06,0.0,0.16,0.01,,,,Pending
digimon battle spirit 2,Nintendo,GBA,2003,Fighting,0.11,0.04,0.0,0.15,0.0,63.0,,E,Everyone
winning post 3,PlayStation,PS,1998,Racing,0.0,0.0,0.14,0.15000000000000002,0.01,,,,Pending
just sing!,Nintendo,DS,2009,Misc,0.14,0.0,0.0,0.15000000000000002,0.01,,,,Pending
driven,PlayStation,PS2,2001,Racing,0.08,0.06,0.0,0.16,0.02,38.0,3.4,T,Teens
james noir's hollywood crimes,Nintendo,3DS,2011,Adventure,0.07,0.07,0.0,0.15000000000000002,0.01,60.0,6.6,T,Teens
"warhammer 40,000 fire warrior",PlayStation,PS2,2003,Shooter,0.08,0.06,0.0,0.16,0.02,64.0,8.3,M,Mature
all-pro football 2k8,PlayStation,PS3,2007,Sports,0.14,0.0,0.0,0.15000000000000002,0.01,73.0,7.3,E10+,Everyone 10y+
lufia curse of the sinistrals,Nintendo,DS,2010,Role-Playing,0.11,0.0,0.03,0.15000000000000002,0.01,80.0,8.0,E10+,Everyone 10y+
mtv music generator 2,PlayStation,PS2,2001,Misc,0.08,0.06,0.0,0.16,0.02,77.0,8.5,T,Teens
mugen souls,PlayStation,PS3,2012,Role-Playing,0.04,0.02,0.08,0.15000000000000002,0.01,55.0,7.3,T,Teens
ultimate spider-man,Nintendo,DS,2005,Action,0.14,0.0,0.0,0.15000000000000002,0.01,78.0,7.7,E10+,Everyone 10y+
major league baseball 2k13,PlayStation,PS3,2013,Sports,0.14,0.0,0.0,0.16,0.02,,,,Pending
saw ii flesh & blood,XBox,X360,2010,Action,0.1,0.04,0.0,0.15000000000000002,0.01,,,,Pending
burnout 2 point of impact,Nintendo,GC,2003,Racing,0.12,0.03,0.0,0.15,0.0,89.0,8.5,E,Everyone
paris-dakar rally,PlayStation,PS2,2001,Racing,0.08,0.06,0.0,0.16,0.02,36.0,3.9,E,Everyone
bakugan battle brawlers defenders of the core,PlayStation,PSP,2010,Action,0.09,0.04,0.0,0.16,0.03,,,E10+,Everyone 10y+
motionsports adrenaline,PlayStation,PS3,2011,Sports,0.08,0.05,0.0,0.15,0.02,,,E,Everyone
atelier iris eternal mana,PlayStation,PS2,2004,Role-Playing,0.08,0.06,0.0,0.16,0.02,74.0,7.7,T,Teens
blinx 2 masters of time & space,XBox,XB,2004,Platform,0.12,0.03,0.0,0.16,0.01,,,,Pending
f.e.a.r. 3,PC,PC,2011,Shooter,0.04,0.08,0.0,0.15,0.03,74.0,5.9,M,Mature
chessmaster the art of learning,Nintendo,DS,2007,Misc,0.12,0.03,0.0,0.16,0.01,,6.7,E,Everyone
my baby 3 & friends,Nintendo,DS,2010,Simulation,0.12,0.02,0.0,0.15,0.01,,,,Pending
tak the great juju challenge,Nintendo,GC,2005,Platform,0.12,0.03,0.0,0.15,0.0,75.0,9.3,E,Everyone
fantasia music evolved,XBox,XOne,2014,Misc,0.11,0.03,0.0,0.15000000000000002,0.01,77.0,7.5,E10+,Everyone 10y+
dragon ball z harukanaru densetsu (jp sales),Nintendo,DS,2007,Role-Playing,0.0,0.0,0.15,0.15,0.0,,,,Pending
knockout kings 2003,Nintendo,GC,2002,Sports,0.12,0.03,0.0,0.15,0.0,78.0,6.5,T,Teens
bomberman,PlayStation,PSP,2006,Puzzle,0.14,0.0,0.0,0.15000000000000002,0.01,73.0,7.0,E,Everyone
ncaa football 2004,Nintendo,GC,2003,Sports,0.12,0.03,0.0,0.15,0.0,89.0,7.5,E,Everyone
xgiii extreme g racing,Nintendo,GC,2001,Racing,0.12,0.03,0.0,0.15,0.0,83.0,7.8,E,Everyone
digimon world 4,PlayStation,PS2,2005,Role-Playing,0.08,0.06,0.0,0.16,0.02,48.0,6.9,E,Everyone
stormrise,XBox,X360,2009,Strategy,0.11,0.03,0.0,0.15000000000000002,0.01,48.0,6.8,M,Mature
scripps spelling bee,Nintendo,DS,2010,Simulation,0.14,0.0,0.0,0.15000000000000002,0.01,,,E,Everyone
major league baseball 2k11,Nintendo,Wii,2011,Sports,0.14,0.0,0.0,0.15000000000000002,0.01,,,E,Everyone
"go, diego, go! safari rescue",Nintendo,DS,2007,Adventure,0.14,0.01,0.0,0.16000000000000003,0.01,,,,Pending
disney's story studio disney's mulan,PlayStation,PS,1999,Misc,0.09,0.06,0.0,0.16,0.01,,,,Pending
pressure cooker,Other,2600,1982,Action,0.14,0.01,0.0,0.15000000000000002,0.0,,,,Pending
home run,Other,2600,,Sports,0.14,0.01,0.0,0.15000000000000002,0.0,,,,Pending
klax,Other,2600,1989,Puzzle,0.14,0.01,0.0,0.15000000000000002,0.0,,,,Pending
saturn bomberman,Other,SAT,1996,Puzzle,0.0,0.0,0.15,0.15,0.0,,,,Pending
the godfather blackhand edition,Nintendo,Wii,2007,Adventure,0.14,0.0,0.0,0.15000000000000002,0.01,77.0,8.5,M,Mature
wolfenstein the old blood,XBox,XOne,2015,Action,0.07,0.07,0.0,0.15000000000000002,0.01,75.0,8.0,,Pending
jikkyou powerful pro yakyuu portable,PlayStation,PSP,2006,Sports,0.0,0.0,0.15,0.15,0.0,,,,Pending
dragon's lair trilogy,Nintendo,Wii,2010,Adventure,0.14,0.0,0.0,0.15000000000000002,0.01,,,,Pending
naruto powerful shippuden,Nintendo,3DS,2012,Platform,0.08,0.02,0.04,0.15000000000000002,0.01,71.0,5.4,E10+,Everyone 10y+
american chopper,XBox,XB,2004,Racing,0.11,0.03,0.0,0.15000000000000002,0.01,44.0,5.9,T,Teens
the adventures of tintin the game,Nintendo,3DS,2011,Action,0.05,0.09,0.0,0.16,0.02,56.0,5.7,E10+,Everyone 10y+
dynasty warriors 8,XBox,X360,2013,Action,0.09,0.05,0.0,0.15000000000000002,0.01,65.0,7.5,T,Teens
bust-a-move bash!,Nintendo,Wii,2007,Puzzle,0.13,0.01,0.0,0.15000000000000002,0.01,,,,Pending
kingdom under fire heroes,XBox,XB,2005,Strategy,0.11,0.03,0.0,0.15000000000000002,0.01,78.0,7.5,M,Mature
cartoon network collection game boy advance video special edition,Nintendo,GBA,2005,Misc,0.11,0.04,0.0,0.15,0.0,,,,Pending
the terminator dawn of fate,XBox,XB,2002,Action,0.11,0.03,0.0,0.15000000000000002,0.01,53.0,5.2,T,Teens
infected,PlayStation,PSP,2005,Shooter,0.14,0.0,0.0,0.15000000000000002,0.01,74.0,8.3,M,Mature
doctor who evacuation earth,Nintendo,DS,2010,Adventure,0.0,0.13,0.0,0.15,0.02,,,,Pending
birds of steel,XBox,X360,2012,Simulation,0.11,0.03,0.0,0.15000000000000002,0.01,77.0,8.9,T,Teens
cars race-o-rama,XBox,X360,2009,Racing,0.14,0.01,0.0,0.16000000000000003,0.01,54.0,5.8,E,Everyone
scooby-doo! unmasked,Nintendo,GC,2005,Platform,0.12,0.03,0.0,0.15,0.0,,,,Pending
theatrhythm dragon quest,Nintendo,3DS,2015,Misc,0.0,0.0,0.15,0.15,0.0,,,,Pending
streak hoverboard racing,PlayStation,PS,1998,Racing,0.09,0.06,0.0,0.16,0.01,,,,Pending
nba street homecourt,PlayStation,PS3,2007,Sports,0.12,0.01,0.0,0.15,0.02,81.0,6.5,E,Everyone
darksiders ii,PC,PC,2012,Action,0.03,0.1,0.0,0.15,0.02,81.0,7.8,M,Mature
enthusia professional racing,PlayStation,PS2,2005,Racing,0.07,0.06,0.0,0.15,0.02,70.0,7.6,E,Everyone
dirt 3,PC,PC,2011,Racing,0.0,0.13,0.0,0.16,0.03,86.0,6.9,T,Teens
ncaa gamebreaker 2001,PlayStation,PS2,2000,Sports,0.07,0.06,0.0,0.15,0.02,57.0,,E,Everyone
disgaea 4 a promise unforgotten,PlayStation,PSV,2014,Role-Playing,0.03,0.03,0.08,0.16,0.02,,,,Pending
get on da mic,PlayStation,PS2,2004,Misc,0.07,0.06,0.0,0.15,0.02,49.0,6.3,T,Teens
darksiders ii,Nintendo,WiiU,2012,Action,0.07,0.07,0.0,0.15000000000000002,0.01,85.0,8.2,M,Mature
gunslingers,Nintendo,Wii,2010,Shooter,0.07,0.06,0.0,0.15,0.02,,,T,Teens
army men sarge's war,Nintendo,GC,2004,Shooter,0.12,0.03,0.0,0.15,0.0,56.0,6.7,T,Teens
amagami,PlayStation,PSP,2011,Adventure,0.0,0.0,0.15,0.15,0.0,,,,Pending
jikkyou powerful pro yakyuu 2009,PlayStation,PS2,2009,Sports,0.0,0.0,0.15,0.15,0.0,,,,Pending
block party,Nintendo,Wii,2008,Misc,0.14,0.0,0.0,0.15000000000000002,0.01,,2.8,E10+,Everyone 10y+
little league world series baseball 2009,Nintendo,Wii,2009,Sports,0.14,0.0,0.0,0.15000000000000002,0.01,,,E,Everyone
kidou senkan nadesico,Other,SAT,1997,Strategy,0.0,0.0,0.15,0.15,0.0,,,,Pending
blitz the league ii,PlayStation,PS3,2008,Sports,0.11,0.02,0.0,0.15,0.02,62.0,7.5,,Pending
arcade zone,Nintendo,Wii,2009,Misc,0.14,0.0,0.0,0.15000000000000002,0.01,,,E,Everyone
project sylpheed arc of deception,XBox,X360,2006,Shooter,0.12,0.01,0.02,0.16,0.01,64.0,8.6,T,Teens
bigfoot collision course,Nintendo,DS,2009,Racing,0.14,0.0,0.0,0.15000000000000002,0.01,26.0,,E,Everyone
frogger's adventures the rescue,Nintendo,GC,2003,Platform,0.12,0.03,0.0,0.15,0.0,61.0,,E,Everyone
nhl 2k10,PlayStation,PS3,2009,Sports,0.13,0.01,0.0,0.15000000000000002,0.01,66.0,7.1,E10+,Everyone 10y+
family party fitness fun,Nintendo,Wii,2010,Sports,0.14,0.0,0.0,0.15000000000000002,0.01,,,E10+,Everyone 10y+
the secret saturdays beasts of the 5th sun,PlayStation,PS2,2009,Action,0.05,0.02,0.0,0.15000000000000002,0.08,,,E10+,Everyone 10y+
michael jackson the experience,PlayStation,PSP,2010,Misc,0.11,0.03,0.0,0.16,0.02,,6.2,E10+,Everyone 10y+
mlb power pros 2008,PlayStation,PS2,2008,Sports,0.05,0.04,0.05,0.15000000000000002,0.01,67.0,8.5,E,Everyone
sonny with a chance,Nintendo,DS,2010,Action,0.12,0.02,0.0,0.15,0.01,,,E,Everyone
the fairly odd parents clash with the anti-world,Nintendo,GBA,2005,Adventure,0.11,0.04,0.0,0.15,0.0,,,,Pending
wordjong,Nintendo,DS,2007,Puzzle,0.13,0.01,0.0,0.15000000000000002,0.01,77.0,7.7,E,Everyone
tears to tiara ii heir of the overlord,PlayStation,PS3,2013,Role-Playing,0.07,0.01,0.06,0.16,0.02,65.0,8.7,T,Teens
puzzle quest galactrix,Nintendo,DS,2009,Puzzle,0.14,0.0,0.0,0.15000000000000002,0.01,75.0,6.7,E10+,Everyone 10y+
the amazing spider-man (console version),Nintendo,Wii,2012,Action,0.1,0.04,0.0,0.15000000000000002,0.01,,,,Pending
de blob 2,XBox,X360,2011,Platform,0.1,0.04,0.0,0.15000000000000002,0.01,77.0,7.5,E10+,Everyone 10y+
disney's the lion king simba's mighty adventure,PlayStation,PS,2000,Action,0.08,0.06,0.0,0.15000000000000002,0.01,30.0,6.9,E,Everyone
gundam breaker 2,PlayStation,PSV,2014,Action,0.0,0.0,0.15,0.15,0.0,,,,Pending
major league baseball 2k10,Nintendo,DS,2010,Sports,0.14,0.0,0.0,0.15000000000000002,0.01,,,E,Everyone
samurai warriors katana,Nintendo,Wii,2007,Action,0.11,0.0,0.04,0.16,0.01,53.0,6.8,T,Teens
nba 09 the inside,PlayStation,PS3,2008,Sports,0.14,0.0,0.0,0.15000000000000002,0.01,63.0,5.1,E,Everyone
jikkyou powerful pro yakyuu 2012,PlayStation,PSP,2012,Action,0.0,0.0,0.15,0.15,0.0,,,,Pending
kingdom of paradise,PlayStation,PSP,2005,Role-Playing,0.14,0.0,0.0,0.15000000000000002,0.01,72.0,7.5,T,Teens
all japan pro wrestling featuring virtua,Other,SAT,1997,Fighting,0.0,0.0,0.15,0.15,0.0,,,,Pending
naruto shippuden legends akatsuki rising,PlayStation,PSP,2009,Fighting,0.14,0.0,0.0,0.15000000000000002,0.01,60.0,6.2,T,Teens
marvel super hero squad the infinity gauntlet,XBox,X360,2010,Action,0.12,0.02,0.0,0.15,0.01,55.0,6.3,E10+,Everyone 10y+
rudra no hihou,Nintendo,SNES,1996,Role-Playing,0.0,0.0,0.15,0.15,0.0,,,,Pending
bleach dark souls,Nintendo,DS,2007,Fighting,0.12,0.02,0.0,0.15,0.01,82.0,7.9,T,Teens
hot wheels battle force 5,Nintendo,DS,2009,Racing,0.12,0.02,0.0,0.15,0.01,,,E10+,Everyone 10y+
prince of persia the sands of time,Nintendo,GBA,2003,Action,0.11,0.04,0.0,0.15,0.0,75.0,8.8,T,Teens
zoids battle legends,Nintendo,GC,2003,Action,0.12,0.03,0.0,0.15,0.0,,8.1,T,Teens
ice age 2 the meltdown,Nintendo,DS,2006,Platform,0.13,0.01,0.0,0.15000000000000002,0.01,,,E,Everyone
prince of persia the forgotten sands,Nintendo,DS,2010,Action,0.14,0.01,0.0,0.16000000000000003,0.01,57.0,6.3,E10+,Everyone 10y+
world series baseball 2k3,XBox,XB,2003,Sports,0.11,0.03,0.0,0.15000000000000002,0.01,89.0,8.6,E,Everyone
tokyo xanadu,PlayStation,PSV,2015,Role-Playing,0.0,0.0,0.15,0.15,0.0,,,,Pending
serious sam,XBox,XB,2002,Shooter,0.11,0.03,0.0,0.15000000000000002,0.01,75.0,8.2,M,Mature
bomberman,Nintendo,DS,2005,Puzzle,0.1,0.01,0.03,0.15000000000000002,0.01,75.0,7.0,E,Everyone
kowloon's gate,PlayStation,PS,1997,Adventure,0.0,0.0,0.14,0.15000000000000002,0.01,,,,Pending
killer7,Nintendo,GC,2005,Action,0.12,0.03,0.0,0.15,0.0,74.0,8.5,M,Mature
super monkey ball adventure,Nintendo,GC,2006,Platform,0.12,0.03,0.0,0.15,0.0,51.0,7.2,E,Everyone
fifa soccer 2002,PlayStation,PS,2001,Sports,0.08,0.06,0.0,0.15000000000000002,0.01,81.0,6.4,E,Everyone
street fighter anniversary collection,XBox,XB,2004,Fighting,0.11,0.03,0.0,0.15000000000000002,0.01,79.0,6.4,T,Teens
3rd super robot wars z tengoku-hen,PlayStation,PS3,2015,Action,0.0,0.0,0.15,0.15,0.0,,,,Pending
suzumiya haruhi no yakusoku,PlayStation,PSP,2007,Adventure,0.0,0.0,0.15,0.15,0.0,,,,Pending
shadow ops red mercury,XBox,XB,2004,Shooter,0.11,0.03,0.0,0.15000000000000002,0.01,61.0,6.1,T,Teens
indigo prophecy,PlayStation,PS2,2005,Adventure,0.07,0.06,0.0,0.15,0.02,83.0,7.8,M,Mature
fifa 06 road to fifa world cup,XBox,X360,2005,Sports,0.11,0.02,0.01,0.15000000000000002,0.01,62.0,6.0,E,Everyone
world league soccer,Nintendo,SNES,1991,Sports,0.0,0.0,0.15,0.15,0.0,,,,Pending
nba shootout 2001,PlayStation,PS2,2001,Sports,0.07,0.06,0.0,0.15,0.02,54.0,,E,Everyone
final fantasy xi vana'diel collection 2008,XBox,X360,2007,Role-Playing,0.13,0.0,0.01,0.15000000000000002,0.01,,,T,Teens
farm frenzy animal country,Nintendo,DS,2009,Simulation,0.13,0.01,0.0,0.15000000000000002,0.01,,,E,Everyone
we sing uk hits,Nintendo,Wii,2011,Misc,0.0,0.13,0.0,0.15,0.02,,,T,Teens
samurai shodown anthology,PlayStation,PS2,2008,Fighting,0.07,0.06,0.0,0.15,0.02,,,T,Teens
musashi samurai legend,PlayStation,PS2,2005,Role-Playing,0.07,0.06,0.0,0.15,0.02,64.0,8.9,T,Teens
build-a-bear workshop welcome to hugsville,Nintendo,DS,2010,Misc,0.14,0.0,0.0,0.15000000000000002,0.01,,,E,Everyone
lego the hobbit,PlayStation,PSV,2014,Action,0.02,0.09,0.0,0.14,0.03,,2.5,E10+,Everyone 10y+
the oregon trail,Nintendo,Wii,2011,Simulation,0.14,0.0,0.0,0.15000000000000002,0.01,,,,Pending
oreshika tainted bloodlines,PlayStation,PSV,2014,Role-Playing,0.0,0.0,0.15,0.15,0.0,78.0,8.0,T,Teens
pokémon johto photo finish game boy advance video,Nintendo,GBA,2004,Misc,0.11,0.04,0.0,0.15,0.0,,,,Pending
adventure time explore the dungeon because i don't know!,Nintendo,3DS,2013,Action,0.1,0.03,0.0,0.14,0.01,,,,Pending
f1 2001,PlayStation,PS2,2001,Racing,0.07,0.06,0.0,0.15,0.02,83.0,8.3,E,Everyone
darksiders,PC,PC,2010,Action,0.07,0.06,0.0,0.15,0.02,83.0,7.8,M,Mature
